date,user_id,monthly_income,monthly_expense_total,emergency_fund,investment_amount,debt_to_income_ratio,age,Rasio Dana Darurat,score_emergency,cluster_investor,status_kesiapan_invest,ticker_saham,jumlah_lot,average_price
2023-09-07,1397,76908618.18,60677673.48,15624632.88,0.0,0.15,29,0.26,1.73,2,Siap Investasi (Konservatif),Belum Ada Portfolio,0,0
2023-10-07,1156,97536328.56,61403534.82,7084182.96,7767922.32,0.54,26,0.12,0.8,1,Belum Siap Investasi,SRTG.JK,21,3764
2023-11-06,1925,85950337.14,62600603.04,26296175.34,7503654.96,0.22,24,0.42,2.8,0,Siap Investasi (Agresif),ACES.JK,8,1336
2019-01-01,1599,33058413.540000003,50901878.52,19411241.58,8339452.92,0.15,29,0.38,2.53,0,Siap Investasi (Agresif),BRPT.JK,46,2973
2019-01-31,1958,88795930.32,47029627.62,18945802.44,12459367.08,0.57,21,0.4,2.67,1,Belum Siap Investasi,UNVR.JK,40,3979
2019-03-02,1870,61333273.26,61382910.78,27287177.94,14065839.971999988,0.36,20,0.44,2.93,0,Siap Investasi (Agresif),MBMA.JK,46,1480
2019-04-01,1979,52639890.84,68215760.1,17771630.4,0.0,0.16,27,0.26,1.73,2,Siap Investasi (Konservatif),Belum Ada Portfolio,0,0
2019-05-01,1037,65833683.48,48924767.16,21629549.34,8101227.78,0.55,22,0.44,2.93,1,Belum Siap Investasi,AMRT.JK,7,4968
2019-05-31,1752,67976835.84,31218679.26,13542828.3,4983851.699999999,0.44,22,0.43,2.87,1,Belum Siap Investasi,EXCL.JK,23,1910
2019-06-30,1397,54697925.34,65908139.76,30110748.84,8654231.7,0.31,20,0.46,3.07,0,Siap Investasi (Agresif),INDF.JK,44,2996
2019-07-30,1930,54314108.46,43448210.64,26496473.22,10105430.04,0.56,29,0.61,4.07,1,Belum Siap Investasi,TINS.JK,32,4344
2019-08-29,1154,83254530.42,54572433.3,27236316.959999997,11095558.74,0.17,26,0.5,3.33,0,Siap Investasi (Agresif),AKRA.JK,11,4991
2019-09-28,1963,46295551.62,24609548.34,17783515.44,3925558.8,0.37,21,0.72,4.8,2,Siap Investasi (Konservatif),BBTN.JK,22,4129
2019-10-28,1447,73765374.66000001,42067798.2,3297923.82,6489406.62,0.33,28,0.08,0.53,2,Siap Investasi (Konservatif),HRUM.JK,22,2351
2019-11-27,1075,65047348.26,34357203.72,17808159.419999998,8040054.78,0.29,22,0.52,3.47,0,Siap Investasi (Agresif),BRPT.JK,43,3033
2019-12-27,1674,62071718.76,61514170.56,13569569.64,6560891.64,0.29,21,0.22,1.47,2,Siap Investasi (Konservatif),SIDO.JK,25,2754
2020-01-26,1310,59994633.24,52981061.400000006,28073862.72,10858906.62,0.22,22,0.53,3.53,0,Siap Investasi (Agresif),KLBF.JK,22,1108
2020-02-25,1201,68152664.52,71810460.36,26206163.64,8048968.56,0.37,24,0.36,2.4,1,Belum Siap Investasi,EXCL.JK,28,4350
2020-03-26,1900,66563739.54,37651107.599999994,18199666.62,2229668.46,0.57,26,0.48,3.2,1,Belum Siap Investasi,TLKM.JK,29,4757
2020-04-25,1953,43026990.84,23991526.26,23313904.200000003,12560040.36,0.44,24,0.97,5.07,0,Siap Investasi (Agresif),INDF.JK,13,1327
2020-05-25,1252,76171745.69999999,19349019.9,18809124.48,7466077.260000001,0.37,30,0.97,5.07,1,Belum Siap Investasi,BMRI.JK,18,2799
2020-06-24,1218,37177978.14,27943302.06,23723588.52,6783910.92,0.21,22,0.85,5.07,0,Siap Investasi (Agresif),INCO.JK,2,1314
2020-07-24,1081,77721345.18,53423254.8,25517355.66,5383923.12,0.22,27,0.48,3.2,2,Siap Investasi (Konservatif),AMRT.JK,29,4545
2020-08-23,1511,87384931.38,51119479.62,35231453.28,3804785.82,0.34,27,0.69,4.6,2,Siap Investasi (Konservatif),PTBA.JK,21,2134
2020-09-22,1280,48125673.0,45792360.0,31760846.82,8969884.38,0.36,24,0.69,4.6,0,Siap Investasi (Agresif),PTPP.JK,15,3746
2020-10-22,1828,59811463.8,61093649.88,19738080.18,5858625.6,0.44,27,0.32,2.13,1,Belum Siap Investasi,INDY.JK,27,1780
2020-11-21,1279,57245169.06,38041915.68,21457041.48,7387426.260000001,0.19,22,0.56,3.73,0,Siap Investasi (Agresif),PGEO.JK,31,4300
2020-12-21,1288,84498090.12,41069454.84,15595444.62,5299504.38,0.4,20,0.38,2.53,1,Belum Siap Investasi,WIKA.JK,15,2520
2021-01-20,1919,20493304.56,48653858.16,32163190.38,4259388.6,0.57,24,0.66,4.4,1,Belum Siap Investasi,SMGR.JK,23,1155
2021-02-19,1332,73326676.86,20526337.98,27088453.08,9146761.74,0.51,30,1.32,5.07,1,Belum Siap Investasi,AMRT.JK,24,2496
2021-03-21,1510,112373752.32,70157740.67999999,133182.36000000002,1246705.74,0.46,28,0.0,0.0,1,Belum Siap Investasi,BBTN.JK,44,2724
2021-04-20,1890,77488538.22,56194391.7,21686877.18,14065839.971999988,0.57,28,0.39,2.6,1,Belum Siap Investasi,BRPT.JK,13,4343
2021-05-20,1846,78409279.26,89768231.46,4872516.84,4165531.74,0.54,19,0.05,0.33,1,Belum Siap Investasi,HRUM.JK,22,1886
2021-06-19,1371,62409044.16,62560054.080000006,37396977.48,11400549.84,0.13,29,0.6,4.0,0,Siap Investasi (Agresif),HRUM.JK,43,4073
2021-07-19,1147,58554271.26,51190789.86,10087427.7,3324140.82,0.53,26,0.2,1.33,1,Belum Siap Investasi,PTMP.JK,37,3805
2021-08-18,1305,53998805.34,68381276.76,7203557.699999999,6812225.28,0.3,27,0.11,0.73,2,Siap Investasi (Konservatif),ESSA.JK,33,1721
2021-09-17,1805,76937107.32,64378814.76,18924304.5,14065839.971999988,0.27,27,0.29,1.93,0,Siap Investasi (Agresif),MBMA.JK,3,4582
2021-10-17,1059,74561847.12,35703534.06,18654094.62,2709963.9000000004,0.47,29,0.52,3.47,1,Belum Siap Investasi,JSMR.JK,19,1912
2021-11-16,1955,91737827.28,39605322.78,13601903.94,8038481.760000001,0.5,18,0.34,2.27,1,Belum Siap Investasi,ISAT.JK,23,4357
2021-12-16,1776,91259803.98,64059491.7,21833168.040000003,9958265.28,0.13,30,0.34,2.27,0,Siap Investasi (Agresif),WIKA.JK,29,1870
2022-01-15,1597,70763528.16,66139373.7,0.0,4436790.3,0.57,23,0.0,0.0,1,Belum Siap Investasi,INDY.JK,30,1012
2022-02-14,1473,70620033.78,45930610.98,13050123.479999999,5261402.34,0.47,24,0.28,1.87,1,Belum Siap Investasi,KLBF.JK,39,3655
2022-03-16,1831,69294152.7,51104098.98,27499360.86,3136252.32,0.53,30,0.54,3.6,1,Belum Siap Investasi,GGRM.JK,44,1497
2022-04-15,1899,97176456.54,73155742.02,21185083.799999997,11293759.26,0.53,25,0.29,1.93,1,Belum Siap Investasi,TOWR.JK,47,2756
2022-05-15,1570,59328721.44,38929273.74,15926303.16,3428834.04,0.47,27,0.41,2.73,1,Belum Siap Investasi,BBNI.JK,25,3285
2022-06-14,1826,35877090.599999994,33004581.299999997,589707.7200000001,13469770.26,0.27,26,0.02,0.13,0,Siap Investasi (Agresif),TBIG.JK,37,2117
2022-07-14,1484,66638021.04,48536580.78,17206741.44,9285886.62,0.25,19,0.35,2.33,0,Siap Investasi (Agresif),AMRT.JK,47,4409
2022-08-13,1154,51543146.34,42230867.94,17884713.06,6138098.82,0.46,28,0.42,2.8,1,Belum Siap Investasi,JSMR.JK,8,3828
2022-09-12,1338,84154822.19999999,70035919.02,10132520.94,6262891.739999999,0.41,27,0.14,0.93,1,Belum Siap Investasi,ITMG.JK,42,2194
2022-10-12,1027,57522020.580000006,58158744.12,25079356.98,13746097.44,0.55,19,0.43,2.87,1,Belum Siap Investasi,SMGR.JK,16,3004
2022-11-11,1864,91958923.98,50340659.94,15769525.5,6403939.199999999,0.15,22,0.31,2.07,2,Siap Investasi (Konservatif),INKP.JK,8,3653
2022-12-11,1389,79164503.64,69943110.84,6374925.72,5151640.5,0.44,30,0.09,0.6,1,Belum Siap Investasi,BBNI.JK,1,3708
2023-01-10,1583,97986037.5,59340431.7,9965780.82,10513191.78,0.11,22,0.17,1.13,0,Siap Investasi (Agresif),TOWR.JK,44,2647
2023-02-09,1039,74708312.76,43490856.96,19985918.22,5602572.9,0.57,23,0.46,3.07,1,Belum Siap Investasi,EMTK.JK,5,2590
2023-03-11,1782,47517438.599999994,58267981.62,14319375.84,10601630.46,0.38,20,0.25,1.67,0,Siap Investasi (Agresif),TOWR.JK,3,3896
2023-04-10,1262,57064446.54,56853312.3,20473554.42,6707182.5,0.45,25,0.36,2.4,1,Belum Siap Investasi,INTP.JK,1,3983
2023-05-10,1848,74405593.80000001,64797412.86,25471388.52,8099479.98,0.15,30,0.39,2.6,0,Siap Investasi (Agresif),ACES.JK,4,2490
2023-06-09,1516,58020842.7,60784638.84,0.0,1648524.96,0.32,18,0.0,0.0,2,Siap Investasi (Konservatif),TKIM.JK,40,3675
2023-07-09,1232,86013607.5,47930443.74,29511428.22,8541673.379999999,0.19,23,0.62,4.13,0,Siap Investasi (Agresif),AMRT.JK,35,1142
2023-08-08,1197,77722393.86,46952899.2,20971502.64,13715685.72,0.2,21,0.45,3.0,0,Siap Investasi (Agresif),PGAS.JK,32,2224
2023-09-07,1422,49519543.5,60996472.2,28660074.84,11879971.38,0.48,18,0.47,3.13,1,Belum Siap Investasi,AMMN.JK,42,4251
2023-10-07,1552,63286964.099999994,33235640.459999997,14223246.84,9168784.020000001,0.19,24,0.43,2.87,0,Siap Investasi (Agresif),BRPT.JK,34,3761
2023-11-06,1865,61798188.06,65171092.5,13706247.600000001,12710875.5,0.2,26,0.21,1.4,0,Siap Investasi (Agresif),GOTO.JK,43,4435
2019-01-01,1173,107678811.96,38059918.02,20592929.16,4962528.54,0.41,30,0.54,3.6,1,Belum Siap Investasi,BRPT.JK,25,3526
2019-01-31,1020,75129183.0,56299609.26,33006853.44,9346884.84,0.23,21,0.59,3.93,0,Siap Investasi (Agresif),TINS.JK,10,1564
2019-03-02,1047,64712994.12,19437982.92,7679134.08,8196657.66,0.23,21,0.4,2.67,0,Siap Investasi (Agresif),ADRO.JK,21,3518
2019-04-01,1789,69477671.7,48034612.62,25456357.44,6881438.16,0.12,23,0.53,3.53,0,Siap Investasi (Agresif),PTPP.JK,46,3431
2019-05-01,1846,61694718.3,70284630.96000001,30117914.82,438697.80000000005,0.33,29,0.43,2.87,2,Siap Investasi (Konservatif),INCO.JK,39,2715
2019-05-31,1042,63652778.64,57114084.06,14148441.0,6204340.44,0.33,20,0.25,1.67,2,Siap Investasi (Konservatif),INTP.JK,27,3973
2019-06-30,1394,44469275.400000006,73663827.48,27693366.66,11776501.62,0.33,30,0.38,2.53,0,Siap Investasi (Agresif),ICBP.JK,27,1416
2019-07-30,1406,85777479.72,70822079.46000001,0.0,8573483.34,0.53,29,0.0,0.0,1,Belum Siap Investasi,ERAA.JK,2,2848
2019-08-29,1404,42041930.76,76665324.42,17927708.94,1787475.0599999998,0.42,23,0.23,1.53,2,Siap Investasi (Konservatif),GOTO.JK,41,3355
2019-09-28,1886,91482823.26,62166274.74,37414280.7,3614799.96,0.39,24,0.6,4.0,2,Siap Investasi (Konservatif),BBTN.JK,48,3696
2019-10-28,1466,83473354.98,73893837.96,7603629.12,5243225.22,0.15,28,0.1,0.67,2,Siap Investasi (Konservatif),SCMA.JK,13,2717
2019-11-27,1650,56913786.18,71894354.76,23953074.66,5849012.699999999,0.57,27,0.33,2.2,1,Belum Siap Investasi,JPFA.JK,9,2390
2019-12-27,1978,59586172.38,43384066.38,27287877.06,12329505.54,0.11,27,0.63,4.2,0,Siap Investasi (Agresif),UNTR.JK,36,4072
2020-01-26,1318,59730191.099999994,45668615.76,11783143.26,3845684.34,0.19,20,0.26,1.73,2,Siap Investasi (Konservatif),ISAT.JK,22,2067
2020-02-25,1570,35038845.72,59661677.34,10885123.62,5029644.06,0.38,24,0.18,1.2,1,Belum Siap Investasi,ISAT.JK,42,3786
2020-03-26,1345,73994336.46,49749029.64,14277603.42,14065839.971999988,0.32,20,0.29,1.93,0,Siap Investasi (Agresif),UNVR.JK,26,2866
2020-04-25,1818,73874262.6,39642026.580000006,31287018.24,3917169.36,0.2,30,0.79,5.07,2,Siap Investasi (Konservatif),SIDO.JK,12,2121
2020-05-25,1459,108193713.83999999,54630285.48,31995052.02,11429213.76,0.22,30,0.59,3.93,0,Siap Investasi (Agresif),MNCN.JK,17,4791
2020-06-24,1449,41972717.88,50479260.48,30257214.48,1835714.34,0.23,19,0.6,4.0,2,Siap Investasi (Konservatif),KLBF.JK,14,2288
2020-07-24,1581,92683387.08,62030295.900000006,16679430.18,789830.82,0.22,29,0.27,1.8,2,Siap Investasi (Konservatif),BBTN.JK,14,4871
2020-08-23,1544,32349680.64,34384119.839999996,25723945.62,7418711.88,0.48,27,0.75,5.0,1,Belum Siap Investasi,AKRA.JK,34,2806
2020-09-22,1727,23744736.9,41350501.080000006,2728141.02,5336907.300000001,0.2,21,0.07,0.47,2,Siap Investasi (Konservatif),ACES.JK,20,3187
2020-10-22,1312,76832064.54,63933300.54,7631593.92,4487826.06,0.52,29,0.12,0.8,1,Belum Siap Investasi,ISAT.JK,11,2504
2020-11-21,1158,94195234.08,71408116.8,0.0,12702486.06,0.17,25,0.0,0.0,0,Siap Investasi (Agresif),MDKA.JK,16,4308
2020-12-21,1452,46807307.46,66423915.54,22837104.36,5010418.260000001,0.27,30,0.34,2.27,2,Siap Investasi (Konservatif),BBNI.JK,31,4021
2021-01-20,1736,92370006.54,76137314.04,28117557.72,2567867.76,0.27,26,0.37,2.47,2,Siap Investasi (Konservatif),MNCN.JK,6,2016
2021-02-19,1674,69891550.74,61982406.18,17901142.38,9967528.62,0.21,24,0.29,1.93,0,Siap Investasi (Agresif),MTEL.JK,19,1952
2021-03-21,1245,71065548.0,59017263.48,20584539.72,1821382.38,0.4,18,0.35,2.33,2,Siap Investasi (Konservatif),INDF.JK,37,3951
2021-04-20,1863,40521869.099999994,56431043.82,14959594.979999999,10918856.16,0.17,20,0.27,1.8,0,Siap Investasi (Agresif),BFIN.JK,4,1071
2021-05-20,1840,81049680.72,44681633.099999994,14607937.62,6729554.34,0.17,30,0.33,2.2,2,Siap Investasi (Konservatif),BBTN.JK,47,2690
2021-06-19,1580,66872226.24,52434524.34,31315507.38,7571469.6,0.53,29,0.6,4.0,1,Belum Siap Investasi,INKP.JK,4,4261
2021-07-19,1272,39534711.66,54317604.06,30529521.72,11539674.72,0.4,26,0.56,3.73,0,Siap Investasi (Agresif),PGEO.JK,20,2291
2021-08-18,1024,56933536.32,57196755.0,16959952.080000002,6241918.14,0.24,29,0.3,2.0,2,Siap Investasi (Konservatif),ADRO.JK,10,2344
2021-09-17,1043,66453802.919999994,54187917.3,21132125.459999997,7508898.36,0.11,18,0.39,2.6,0,Siap Investasi (Agresif),UNVR.JK,24,3154
2021-10-17,1890,68824693.62,77215357.08,25666792.56,9645059.520000001,0.53,26,0.33,2.2,1,Belum Siap Investasi,SIDO.JK,35,4303
2021-11-16,1042,65386596.24,60436826.64,29259045.9,12056149.62,0.53,25,0.48,3.2,1,Belum Siap Investasi,SCMA.JK,26,4113
2021-12-16,1963,68118757.2,54238778.28,23171283.72,3043269.36,0.54,18,0.43,2.87,1,Belum Siap Investasi,JPFA.JK,37,4773
2022-01-15,1968,60558823.080000006,60903838.8,22470940.26,5815804.5,0.23,23,0.37,2.47,2,Siap Investasi (Konservatif),GGRM.JK,38,1882
2022-02-14,1899,42522226.2,60820643.52,33576461.46,3774199.32,0.28,22,0.55,3.67,2,Siap Investasi (Konservatif),BUKA.JK,21,1138
2022-03-16,1076,42094889.099999994,68614258.5,23882638.32,10423180.08,0.13,23,0.35,2.33,0,Siap Investasi (Agresif),HRUM.JK,40,3662
2022-04-15,1802,56460057.3,61355120.76,23839118.1,7998806.699999999,0.23,27,0.39,2.6,0,Siap Investasi (Agresif),ASII.JK,39,4754
2022-05-15,1835,51194635.02,73810992.24,12847378.68,8358329.16,0.57,29,0.17,1.13,1,Belum Siap Investasi,INDF.JK,21,3910
2022-06-14,1616,96234392.33999999,60517924.56,10916584.020000001,12512150.64,0.48,30,0.18,1.2,1,Belum Siap Investasi,HRUM.JK,10,3320
2022-07-14,1594,53117914.14,56674337.580000006,19653486.66,8201376.72,0.38,30,0.35,2.33,1,Belum Siap Investasi,BBNI.JK,38,2504
2022-08-13,1812,77727986.82,58246134.12,8381050.56,1993365.9,0.56,30,0.14,0.93,1,Belum Siap Investasi,HRUM.JK,46,3463
2022-09-12,1404,60060525.3,60682217.76,12015425.88,6347660.04,0.25,22,0.2,1.33,2,Siap Investasi (Konservatif),WIKA.JK,4,3553
2022-10-12,1654,82312116.66000001,56900328.12,16308896.58,5412587.04,0.42,23,0.29,1.93,1,Belum Siap Investasi,ITMG.JK,45,1732
2022-11-11,1449,89956294.74,53772115.68,25896803.040000003,10036391.94,0.29,22,0.48,3.2,0,Siap Investasi (Agresif),SIDO.JK,20,2748
2022-12-11,1258,104679062.82,46971950.22,7992339.84,8821496.16,0.12,28,0.17,1.13,0,Siap Investasi (Agresif),MEDC.JK,17,4924
2023-01-10,1425,62412364.98,69752251.08,17051012.46,11059029.72,0.44,29,0.24,1.6,1,Belum Siap Investasi,ARTO.JK,7,1423
2023-02-09,1153,71496730.26,50581681.56,33681679.019999996,6336998.46,0.49,22,0.67,4.47,1,Belum Siap Investasi,AMMN.JK,4,4478
2023-03-11,1495,85683797.64,36032470.02,2531863.08,13609069.92,0.18,21,0.07,0.47,0,Siap Investasi (Agresif),TOWR.JK,29,2591
2023-04-10,1597,78454547.28,70627898.88,9982909.26,8712783.0,0.5,20,0.14,0.93,1,Belum Siap Investasi,SRTG.JK,14,1389
2023-05-10,1668,59277860.46,60495377.94,24588050.4,7073171.82,0.26,20,0.41,2.73,0,Siap Investasi (Agresif),SCMA.JK,3,1341
2023-06-09,1868,95345985.6,36818106.12,18751971.42,6518420.1,0.2,21,0.51,3.4,2,Siap Investasi (Konservatif),PGAS.JK,24,1945
2023-07-09,1665,64163311.02,51089067.900000006,29356573.14,12175524.36,0.38,26,0.57,3.8,0,Siap Investasi (Agresif),BBRI.JK,37,1613
2023-08-08,1511,73370546.64,70227477.9,16214165.82,5743096.02,0.24,19,0.23,1.53,2,Siap Investasi (Konservatif),INDF.JK,16,1492
2023-09-07,1741,89399445.66000001,48221627.22,12236522.58,11577252.42,0.42,26,0.25,1.67,1,Belum Siap Investasi,TKIM.JK,4,1191
2023-10-07,1837,47078216.46,65126523.599999994,15387631.2,11923142.04,0.35,18,0.24,1.6,0,Siap Investasi (Agresif),JSMR.JK,24,1498
2023-11-06,1784,82247098.5,59559780.599999994,18064386.9,3354028.2,0.24,18,0.3,2.0,2,Siap Investasi (Konservatif),HMSP.JK,34,1821
2019-01-01,1310,51694331.04,53260359.84,12747404.520000001,3883436.82,0.33,22,0.24,1.6,2,Siap Investasi (Konservatif),ESSA.JK,30,2735
2019-01-31,1611,77668386.83999999,59738230.98,27140712.299999997,10911690.18,0.38,23,0.45,3.0,0,Siap Investasi (Agresif),UNVR.JK,18,2256
2019-03-02,1601,83534702.76,46424714.04,28165797.0,10787596.38,0.32,23,0.61,4.07,0,Siap Investasi (Agresif),TLKM.JK,19,2968
2019-04-01,1023,56453240.88,54747038.52,23406188.040000003,2859575.58,0.2,20,0.43,2.87,2,Siap Investasi (Konservatif),JSMR.JK,31,1226
2019-05-01,1408,82973134.62,88129144.62,17926310.700000003,5415208.739999999,0.53,24,0.2,1.33,1,Belum Siap Investasi,BBNI.JK,19,2394
2019-05-31,1524,76850416.44,47730320.64,26297398.799999997,0.0,0.57,26,0.55,3.67,1,Belum Siap Investasi,Belum Ada Portfolio,0,0
2019-06-30,1232,48702097.44,36127375.56,22648167.18,9046438.020000001,0.32,28,0.63,4.2,0,Siap Investasi (Agresif),KLBF.JK,49,3186
2019-07-30,1226,93636287.64,54696352.32,27023260.14,6612801.300000001,0.35,29,0.49,3.27,1,Belum Siap Investasi,BBCA.JK,46,3903
2019-08-29,1289,72919264.68,43771553.64,23594600.88,6533451.18,0.47,27,0.54,3.6,1,Belum Siap Investasi,GOTO.JK,19,1816
2019-09-28,1442,37646388.54,36752039.28,18349278.299999997,12720837.96,0.43,25,0.5,3.33,0,Siap Investasi (Agresif),JPFA.JK,22,4220
2019-10-28,1294,50892440.400000006,61431324.84,28655705.34,5726317.14,0.37,23,0.47,3.13,1,Belum Siap Investasi,PTPP.JK,24,4186
2019-11-27,1892,76428322.74,79832862.36,23589532.26,3333578.94,0.32,29,0.3,2.0,2,Siap Investasi (Konservatif),JPFA.JK,45,2473
2019-12-27,1350,89961712.92,78266134.44,13691216.520000001,11977323.84,0.57,25,0.17,1.13,1,Belum Siap Investasi,PTMP.JK,12,2086
2020-01-26,1168,71207818.92,50713815.24,8346269.34,3524613.48,0.51,29,0.16,1.07,1,Belum Siap Investasi,JSMR.JK,30,1103
2020-02-25,1327,84295694.88,55879088.580000006,21999034.26,7722654.300000001,0.43,22,0.39,2.6,1,Belum Siap Investasi,CPIN.JK,38,2874
2020-03-26,1152,68616530.64,42992559.18,14659322.94,6728156.1,0.44,25,0.34,2.27,1,Belum Siap Investasi,PTPP.JK,31,1870
2020-04-25,1215,82187848.08,23767283.52,16882699.32,6537645.9,0.21,27,0.71,4.73,0,Siap Investasi (Agresif),MBMA.JK,36,1667
2020-05-25,1127,99236238.83999999,59512065.66,17091211.86,2953607.22,0.3,29,0.29,1.93,2,Siap Investasi (Konservatif),INTP.JK,19,3042
2020-06-24,1677,56865372.12,44458963.38,34271561.519999996,4889470.5,0.56,21,0.77,5.07,1,Belum Siap Investasi,GOTO.JK,48,1272
2020-07-24,1111,49239545.94,54736551.72,16116638.58,9401241.42,0.48,27,0.29,1.93,1,Belum Siap Investasi,GGRM.JK,45,2029
2020-08-23,1329,54041102.099999994,39411841.32,19216187.1,7279237.44,0.14,25,0.49,3.27,0,Siap Investasi (Agresif),WIKA.JK,36,4218
2020-09-22,1800,99249172.56,57901467.96,15836815.8,8546217.66,0.12,27,0.27,1.8,0,Siap Investasi (Agresif),INTP.JK,30,3231
2020-10-22,1997,84569400.36,56941576.2,11021452.020000001,6943135.5,0.57,29,0.19,1.27,1,Belum Siap Investasi,KLBF.JK,49,2051
2020-11-21,1842,74935876.32,41538214.8,21475043.82,7880131.08,0.48,19,0.52,3.47,1,Belum Siap Investasi,BBTN.JK,33,2573
2020-12-21,1236,68741673.12,54711907.74,0.0,2973182.58,0.57,29,0.0,0.0,1,Belum Siap Investasi,PTPP.JK,18,4190
2021-01-20,1632,67043510.64,66190234.68,3286737.9000000004,20274.48,0.35,29,0.05,0.33,2,Siap Investasi (Konservatif),TINS.JK,49,1292
2021-02-19,1324,82211268.6,57066718.68,17308288.62,9632300.58,0.48,22,0.3,2.0,1,Belum Siap Investasi,BFIN.JK,28,4442
2021-03-21,1464,86670081.18,37158228.0,8231438.88,8135309.88,0.57,26,0.22,1.47,1,Belum Siap Investasi,GGRM.JK,47,4315
2021-04-20,1024,71157307.5,53476213.14,18529476.48,1918035.72,0.1,21,0.35,2.33,2,Siap Investasi (Konservatif),HMSP.JK,11,4651
2021-05-20,1661,80591058.0,41659337.34,14089540.14,6628706.28,0.18,28,0.34,2.27,2,Siap Investasi (Konservatif),JPFA.JK,45,4797
2021-06-19,1206,85035888.18,70544703.6,15082989.66,10123257.600000001,0.4,23,0.21,1.4,1,Belum Siap Investasi,MEDC.JK,33,4289
2021-07-19,1438,44683031.34,55317520.44,20672454.06,4206605.04,0.45,18,0.37,2.47,1,Belum Siap Investasi,INDY.JK,17,3224
2021-08-18,1698,68145673.32000001,21683381.58,21744729.36,14065839.971999988,0.49,26,1.0,5.07,1,Belum Siap Investasi,BUKA.JK,6,4370
2021-09-17,1311,53198312.94,45631737.18,3278698.02,1603956.0599999998,0.55,18,0.07,0.47,1,Belum Siap Investasi,PTPP.JK,4,4747
2021-10-17,1632,54331761.24,43958218.68,9304063.74,8402723.28,0.16,22,0.21,1.4,0,Siap Investasi (Agresif),WIKA.JK,20,3105
2021-11-16,1189,62624198.34,62036937.54,8023450.68,9480067.2,0.12,21,0.13,0.87,0,Siap Investasi (Agresif),ERAA.JK,48,2292
2021-12-16,1581,76556786.04,66406961.88,33276014.64,6453926.28,0.57,30,0.5,3.33,1,Belum Siap Investasi,PTMP.JK,47,1307
2022-01-15,1427,82614136.5,53609919.84,20531231.82,5043102.12,0.51,29,0.38,2.53,1,Belum Siap Investasi,HMSP.JK,27,4641
2022-02-14,1912,71522073.36,59216687.46,20457125.1,4647225.42,0.27,30,0.35,2.33,2,Siap Investasi (Konservatif),EXCL.JK,15,4359
2022-03-16,1810,77588861.94,56421780.48,12270604.68,3207912.1199999996,0.57,30,0.22,1.47,1,Belum Siap Investasi,BFIN.JK,6,1976
2022-04-15,1065,74711983.14,48693008.88,28461000.42,10330721.46,0.34,20,0.58,3.87,0,Siap Investasi (Agresif),TPIA.JK,47,4176
2022-05-15,1023,93302283.06,59717606.94,4335068.34,6258522.239999999,0.33,30,0.07,0.47,2,Siap Investasi (Konservatif),EMTK.JK,14,2251
2022-06-14,1854,96217263.9,30122983.44,29391179.58,9193777.56,0.43,23,0.98,5.07,1,Belum Siap Investasi,PTPP.JK,11,2270
2022-07-14,1827,71489214.72,66403990.62,29442564.9,1152149.76,0.2,19,0.44,2.93,2,Siap Investasi (Konservatif),JSMR.JK,39,3747
2022-08-13,1369,72500317.02,54002475.72,11377653.66,10307126.16,0.44,20,0.21,1.4,1,Belum Siap Investasi,BBTN.JK,9,2517
2022-09-12,1198,61885752.84,56823949.26,25932807.72,8644444.02,0.15,22,0.46,3.07,0,Siap Investasi (Agresif),UNVR.JK,26,3130
2022-10-12,1339,58448704.14,57052911.06,18869947.92,0.0,0.22,26,0.33,2.2,2,Siap Investasi (Konservatif),Belum Ada Portfolio,0,0
2022-11-11,1411,67810445.28,32737517.459999997,10005630.66,4076219.16,0.15,19,0.31,2.07,2,Siap Investasi (Konservatif),MEDC.JK,16,2209
2022-12-11,1851,50775337.8,58475620.26,20473554.42,7809170.4,0.35,27,0.35,2.33,0,Siap Investasi (Agresif),EMTK.JK,5,3299
2023-01-10,1074,76028950.44,45147946.14,34847461.62,5123675.699999999,0.3,25,0.77,5.07,2,Siap Investasi (Konservatif),BBTN.JK,10,2378
2023-02-09,1893,82158834.6,47712842.64,6221643.66,14065839.971999988,0.49,19,0.13,0.87,1,Belum Siap Investasi,BBCA.JK,3,2773
2023-03-11,1357,64450125.0,76647322.08,23946957.36,1260338.58,0.34,28,0.31,2.07,2,Siap Investasi (Konservatif),ARTO.JK,13,4943
2023-04-10,1394,74938148.46,56497984.56,9206536.5,4747898.699999999,0.41,30,0.16,1.07,1,Belum Siap Investasi,INCO.JK,43,2719
2023-05-10,1641,90264956.22,49280269.68,16188647.94,6070458.96,0.31,22,0.33,2.2,2,Siap Investasi (Konservatif),BMRI.JK,49,3042
2023-06-09,1787,58845105.18,42349718.34,4082686.02,10357462.8,0.57,24,0.1,0.67,1,Belum Siap Investasi,INKP.JK,30,1795
2023-07-09,1209,79516860.12,34501222.44,28944441.9,2413711.8,0.13,25,0.84,5.07,2,Siap Investasi (Konservatif),SMGR.JK,45,1896
2023-08-08,1091,101519914.32,27657536.76,20091135.78,6508282.86,0.52,18,0.73,4.87,1,Belum Siap Investasi,EMTK.JK,6,2961
2023-09-07,1107,88399878.83999999,47997384.48,20012135.22,10153144.979999999,0.23,23,0.42,2.8,0,Siap Investasi (Agresif),TOWR.JK,17,1209
